1;1.61;0.95
2;1.76;0.95
3;1.45;0.95
4;1.86;0.95
5;1.92;0.95
6;2.19;0.95
7;2.18;0.95
8;2.18;0.95
9;2.61;0.95
10;1.91;0.95
11;1.38;0.95
12;1.38;0.95
13;1.61;0.95
14;1.76;0.95
15;1.45;0.95
16;1.86;0.95
17;1.92;0.95
18;2.19;0.95
19;2.18;0.95
20;2.18;0.95
21;2.61;0.95
22;1.91;0.95
23;1.38;0.95
24;1.38;0.95
25;1.61;0.95
26;1.76;0.95
27;1.45;0.95
28;1.86;0.95
29;1.92;0.95
30;2.19;0.95
31;2.18;0.95
32;2.18;0.95
33;2.61;0.95
34;1.91;0.95
35;1.38;0.95
36;1.38;0.95
37;1.61;0.95
38;1.76;0.95
39;1.45;0.95
40;1.86;0.95
41;1.92;0.95
42;2.19;0.95
43;2.18;0.95
44;2.18;0.95
45;2.61;0.95
46;1.91;0.95
47;1.38;0.95
48;1.38;0.95
49;1.61;0.95
50;1.76;0.95
51;1.45;0.95
52;1.86;0.95
53;1.92;0.95
54;2.19;0.95
55;2.18;0.95
56;2.18;0.95
57;2.61;0.95
58;1.91;0.95
59;1.38;0.95
60;1.38;0.95
61;1.61;0.95
62;1.76;0.95
63;1.45;0.95
64;1.86;0.95
65;1.92;0.95
66;2.19;0.95
67;2.18;0.95
68;2.18;0.95
69;2.61;0.95
70;1.91;0.95
71;1.38;0.95
72;1.38;0.95
73;1.61;0.95
74;1.76;0.95
75;1.45;0.95
76;1.86;0.95
77;1.92;0.95
78;2.19;0.95
79;2.18;0.95
80;2.18;0.95
81;2.61;0.95
82;1.91;0.95
83;1.38;0.95
84;1.38;0.95
85;1.61;0.95
86;1.76;0.95
87;1.45;0.95
88;1.86;0.95
89;1.92;0.95
90;2.19;0.95
91;2.18;0.95
92;2.18;0.95
93;2.61;0.95
94;1.91;0.95
95;1.38;0.95
96;1.38;0.95
97;1.61;0.95
98;1.76;0.95
99;1.45;0.95
100;1.86;0.95
101;1.92;0.95
102;2.19;0.95
103;2.18;0.95
104;2.18;0.95
105;2.61;0.95
106;1.91;0.95
107;1.38;0.95
108;1.38;0.95
109;1.61;0.95
110;1.76;0.95
111;1.45;0.95
112;1.86;0.95
113;1.92;0.95
114;2.19;0.95
115;2.18;0.95
116;2.18;0.95
117;2.61;0.95
118;1.91;0.95
119;1.38;0.95
120;1.38;0.95
121;1.61;0.95
122;1.76;0.95
123;1.45;0.95
124;1.86;0.95
125;1.92;0.95
126;2.19;0.95
127;2.18;0.95
128;2.18;0.95
129;2.61;0.95
130;1.91;0.95
131;1.38;0.95
132;1.38;0.95
133;1.61;0.95
134;1.76;0.95
135;1.45;0.95
136;1.86;0.95
137;1.92;0.95
138;2.19;0.95
139;2.18;0.95
140;2.18;0.95
141;2.61;0.95
142;1.91;0.95
143;1.38;0.95
144;1.38;0.95
145;1.61;0.95
146;1.76;0.95
147;1.45;0.95
148;1.86;0.95
149;1.92;0.95
150;2.19;0.95
151;2.18;0.95
152;2.18;0.95
153;2.61;0.95
154;1.91;0.95
155;1.38;0.95
156;1.38;0.95
157;1.61;0.95
158;1.76;0.95
159;1.45;0.95
160;1.86;0.95
161;1.92;0.95
162;2.19;0.95
163;2.18;0.95
164;2.18;0.95
165;2.61;0.95
166;1.91;0.95
167;1.38;0.95
168;1.38;0.95
169;1.61;0.95
170;1.76;0.95
171;1.45;0.95
172;1.86;0.95
173;1.92;0.95
174;2.19;0.95
175;2.18;0.95
176;2.18;0.95
177;2.61;0.95
178;1.91;0.95
179;1.38;0.95
180;1.38;0.95
181;1.61;0.95
182;1.76;0.95
183;1.45;0.95
184;1.86;0.95
185;1.92;0.95
186;2.19;0.95
187;2.18;0.95
188;2.18;0.95
189;2.61;0.95
190;1.91;0.95
191;1.38;0.95
192;1.38;0.95
193;1.61;0.95
194;1.76;0.95
195;1.45;0.95
196;1.86;0.95
197;1.92;0.95
198;2.19;0.95
199;2.18;0.95
200;2.18;0.95
201;2.61;0.95
202;1.91;0.95
203;1.38;0.95
